,tract_id,RCAPorECAP,MajorityMinority,HispanicConcentration,BlackAfricanAmConcentration,AsianConcentration,PovertyConcentration,DisabledConcentration,LinguisticallyIsolatedConcentration,ForeignBornConcentration,census_id,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
0,1.01,NO,NO,NO,NO,NO,NO,NO,NO,NO,1.01,0.1021,0.1912,0.0551,0.7319,0.2215
1,1.02,NO,NO,NO,NO,NO,NO,NO,NO,NO,1.02,0.0033,0.3782,0.0151,0.0938,0.0401
2,2.03,NO,NO,NO,NO,NO,NO,NO,NO,NO,2.03,0.4671,0.0107,0.0966,0.7858,0.262
3,2.04,NO,NO,NO,NO,NO,NO,NO,NO,NO,2.04,0.1765,0.0264,0.1613,0.7509,0.1902
4,2.05,NO,NO,NO,NO,NO,NO,NO,NO,NO,2.05,0.2223,0.0228,0.2972,0.2474,0.10099999999999999
5,2.06,NO,NO,NO,NO,NO,NO,NO,NO,NO,2.06,0.055999999999999994,0.0646,0.1403,0.4089,0.0979
6,3.02,NO,NO,NO,NO,NO,NO,NO,NO,NO,3.02,0.2473,0.0061,0.1418,0.8540000000000001,0.2006
7,3.04,NO,NO,NO,NO,NO,NO,NO,NO,NO,3.04,0.2233,0.0121,0.1741,0.8240000000000001,0.1987
8,3.05,NO,NO,NO,NO,NO,NO,NO,NO,NO,3.05,0.3111,0.019,0.1403,0.1276,0.0631
9,3.06,NO,NO,NO,NO,NO,NO,NO,NO,NO,3.06,0.2964,0.046,0.34,0.835,0.3303
10,3.07,NO,NO,NO,NO,NO,NO,NO,NO,NO,3.07,0.1968,0.0232,0.1626,0.4118,0.1113
11,4.01,NO,NO,NO,NO,NO,NO,NO,NO,NO,4.01,0.2001,0.0065,0.1538,0.6717,0.1357
12,4.02,NO,NO,NO,NO,NO,NO,NO,NO,NO,4.02,0.3886,0.3091,0.3236,0.8582,0.4948
13,5.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,5.0,0.3194,0.0048,0.062,0.871,0.214
14,6.01,NO,NO,NO,NO,NO,YES,NO,NO,NO,6.01,0.9317,0.0013,0.2524,0.7459,0.4595
15,6.03,NO,NO,NO,NO,NO,YES,NO,NO,NO,6.03,0.7591,0.0011,0.2049,0.8814,0.4127
16,6.04,NO,NO,NO,NO,NO,YES,NO,NO,NO,6.04,0.8009,0.0019,0.2342,0.9662,0.5012
17,7.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,7.0,0.2033,0.1106,0.2405,0.7204,0.2743
18,8.01,NO,YES,YES,NO,NO,NO,NO,NO,YES,8.01,0.7121,0.5162,0.7246,0.9864,0.8583
19,8.02,YES,YES,NO,YES,NO,YES,NO,NO,NO,8.02,0.7195,0.8672,0.5685,0.9570000000000001,0.8624
20,8.03,NO,YES,NO,YES,NO,NO,NO,NO,NO,8.03,0.3087,0.027000000000000003,0.4089,0.3485,0.1881
21,8.04,NO,YES,NO,NO,NO,NO,NO,NO,NO,8.04,0.7136,0.5551,0.6305,0.489,0.6369
22,9.01,NO,YES,NO,NO,NO,NO,NO,NO,YES,9.01,0.5099,0.051,0.4062,0.8801,0.4701
23,9.02,NO,YES,YES,NO,NO,NO,NO,NO,NO,9.02,0.55,0.4146,0.7405,0.9856,0.775
24,10.0,NO,YES,YES,NO,NO,NO,NO,NO,NO,10.0,0.5619,0.3096,0.6862,0.9637,0.7119
25,11.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,11.0,0.0643,0.0289,0.1688,0.7196,0.1463
26,12.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,12.0,0.0733,0.0069,0.1179,0.6237,0.0783
27,13.03,NO,NO,NO,NO,NO,NO,NO,NO,NO,13.03,0.0905,0.0253,0.0352,0.7538,0.1322
28,13.04,NO,NO,NO,NO,NO,NO,NO,NO,NO,13.04,0.0217,0.0217,0.0431,0.4633,0.0468
29,13.05,NO,NO,NO,NO,NO,NO,NO,NO,NO,13.05,0.2939,0.0502,0.2394,0.6636,0.2572
30,13.07,NO,NO,NO,NO,NO,NO,NO,NO,NO,13.07,0.3085,0.0456,0.309,0.9348,0.3798
31,13.08,NO,YES,NO,NO,NO,NO,NO,NO,NO,13.08,0.2087,0.0188,0.4573,0.3944,0.1585
32,14.01,NO,NO,NO,NO,NO,NO,NO,NO,NO,14.01,0.1761,0.0186,0.0593,0.6628,0.1345
33,14.02,NO,NO,NO,NO,NO,NO,NO,NO,NO,14.02,0.2375,0.0234,0.2966,0.2813,0.11900000000000001
34,14.03,NO,NO,NO,NO,NO,NO,NO,NO,NO,14.03,0.5356,0.0811,0.4208,0.4147,0.3463
35,15.01,NO,NO,NO,NO,NO,NO,NO,NO,NO,15.01,0.0334,0.1621,0.0371,0.451,0.1131
36,15.03,NO,NO,NO,NO,NO,NO,NO,NO,NO,15.03,0.3831,0.0489,0.4799,0.7098,0.3607
37,15.04,NO,NO,NO,NO,NO,NO,NO,NO,NO,15.04,0.0372,0.0385,0.1781,0.3207,0.0612
38,15.05,NO,NO,NO,NO,NO,NO,NO,NO,NO,15.05,0.1884,0.0316,0.083,0.4187,0.1077
39,16.02,NO,NO,NO,NO,NO,NO,NO,NO,YES,16.02,0.0729,0.0046,0.3167,0.4105,0.0622
40,16.03,NO,NO,NO,NO,NO,NO,NO,NO,NO,16.03,0.0052,0.1236,0.0476,0.0474,0.0094
41,16.04,NO,NO,NO,NO,NO,NO,NO,NO,NO,16.04,0.0094,0.16,0.0478,0.0422,0.0127
42,16.05,NO,NO,NO,NO,NO,NO,NO,NO,NO,16.05,0.2045,0.0182,0.0136,0.4838,0.0927
43,16.06,NO,NO,NO,NO,NO,YES,YES,NO,NO,16.06,0.7763,0.0588,0.0589,-999.0,-999.0
44,17.05,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.05,0.1329,0.1203,0.0306,0.4095,0.1292
45,17.06,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.06,0.0251,0.1353,0.0976,0.1355,0.0432
46,17.07,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.07,0.1057,0.3133,0.0616,0.4544,0.1848
47,17.12,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.12,0.6208,0.4212,0.5432,0.8981,0.6848
48,17.13,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.13,0.3509,0.38799999999999996,0.375,0.4575,0.3716
49,17.14,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.14,0.1393,0.0908,0.3959,0.4943,0.2132
50,17.16,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.16,0.0811,0.031,0.1391,0.1432,0.0322
51,17.18,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.18,0.0815,0.1818,0.1649,0.5391,0.1871
52,17.19,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.19,0.0261,0.2495,0.1146,0.0217,0.0179
53,17.22,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.22,0.0299,0.0151,0.2916,0.3187,0.0489
54,17.28,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.28,0.1552,0.0293,0.1804,0.3316,0.0916
55,17.29,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.29,0.155,0.1893,0.2943,0.3045,0.1804
56,17.33,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.33,0.1318,0.2665,0.3077,0.3339,0.2035
57,17.37,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.37,0.0409,0.1238,0.2411,0.2683,0.0983
58,17.38,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.38,0.2346,0.1452,0.1022,0.1153,0.0969
59,17.4,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.4,0.1088,0.0642,0.3247,0.2476,0.11
60,17.41,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.41,0.0963,0.1257,0.2384,0.1896,0.0977
61,17.42,NO,NO,NO,NO,NO,NO,NO,NO,YES,17.42,0.461,0.1031,0.561,0.1927,0.2862
62,17.45,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.45,0.10400000000000001,0.1895,0.0961,0.3218,0.1319
63,17.46,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.46,0.1813,0.2123,0.2933,0.4145,0.2253
64,17.47,NO,YES,NO,NO,NO,NO,NO,NO,NO,17.47,0.414,0.3761,0.3915,0.4771,0.4104
65,17.48,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.48,0.1542,0.0546,0.4571,0.6774,0.2532
66,17.49,NO,NO,NO,NO,NO,NO,NO,NO,YES,17.49,0.1771,0.0527,0.243,0.6164,0.2067
67,17.5,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.5,0.0967,0.0222,0.4659,0.5632,0.1672
68,17.51,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.51,0.062,0.3146,0.1508,0.0798,0.067
69,17.52,NO,YES,NO,NO,YES,NO,NO,NO,YES,17.52,0.38,0.0278,0.3684,0.6402,0.2827
70,17.53,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.53,0.1072,0.0038,0.2547,0.1485,0.0211
71,17.54,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.54,0.1404,0.1092,0.2026,0.6346,0.2161
72,17.55,NO,NO,NO,NO,YES,NO,NO,NO,YES,17.55,0.0203,0.1659,0.4525,0.0067,0.0209
73,17.56,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.56,0.0472,0.1083,0.3308,0.3013,0.1225
74,17.57,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.57,0.1575,0.2094,0.3,0.2499,0.1724
75,17.6,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.6,0.0739,0.2937,0.1799,0.2278,0.1321
76,17.61,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.61,0.0618,0.0722,0.0978,0.1806,0.0499
77,17.64,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.64,0.1128,0.1866,0.1408,0.2257,0.1146
78,17.65,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.65,0.0224,0.136,0.0735,0.1481,0.0426
79,17.66,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.66,0.2808,0.2692,0.2604,0.6922,0.3503
80,17.68,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.68,0.09300000000000001,0.2142,0.0218,0.73,0.2159
81,17.69,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.69,0.0178,0.0786,0.1364,0.1219,0.0294
82,17.7,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.7,0.0232,0.3819,0.2225,0.009000000000000001,0.0238
83,17.71,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.71,0.0562,0.1523,0.0744,0.0476,0.0217
84,17.72,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.72,0.3583,0.2911,0.4051,0.4017,0.3397
85,17.73,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.73,0.0959,0.1608,0.1217,0.4625,0.161
86,17.74,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.74,0.1124,0.1309,0.3534,0.124,0.1002
87,17.75,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.75,0.1688,0.3202,0.16899999999999998,0.1506,0.1418
88,17.76,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.76,0.1517,0.1336,0.3444,0.0839,0.0906
89,17.77,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.77,0.1512,0.0454,0.2306,0.5016,0.1593
90,17.78,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.78,0.0921,0.3353,0.031,0.5245,0.1954
91,17.79,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.79,0.3349,0.1903,0.3672,0.3817,0.2879
92,17.8,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.8,0.2818,0.3401,0.0982,0.2097,0.1967
93,17.81,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.81,0.1107,0.4997,0.1095,0.0344,0.0706
94,17.82,NO,NO,NO,NO,NO,NO,NO,NO,YES,17.82,0.2053,0.2018,0.4663,0.2783,0.2257
95,17.83,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.83,0.037000000000000005,0.1836,0.0938,0.1132,0.0478
96,17.84,NO,NO,NO,NO,NO,NO,NO,NO,NO,17.84,0.0176,0.2395,0.1845,0.1549,0.0739
97,17.85,NO,YES,NO,NO,NO,NO,NO,NO,YES,17.85,0.1391,0.0521,0.3008,0.4533,0.1614
98,17.86,NO,NO,NO,NO,NO,NO,NO,NO,YES,17.86,0.1406,0.013999999999999999,0.4082,0.6362,0.1689
99,18.04,NO,YES,YES,NO,NO,NO,NO,YES,YES,18.04,0.7955,0.4028,0.8297,0.6327,0.737
100,18.05,NO,YES,YES,NO,NO,NO,NO,YES,YES,18.05,0.6735,0.3436,0.8873,0.9875,0.8468
101,18.06,NO,YES,YES,NO,NO,NO,NO,YES,YES,18.06,0.6779,0.6011,0.868,0.9008,0.8246
102,18.11,YES,YES,YES,NO,NO,YES,NO,YES,YES,18.11,0.6967,0.597,0.8536,0.6409999999999999,0.7365
